SH_ID,C_ID,SH_CONTENT,SH_DOMAIN,SER_TYPE,SH_WEIGHT,SH_CHARGES,SR_ADDR,DS_ADDR,Current_Status,Sent_date,Delivery_date,ShipmentEfficiency
947,515,Fashion,International,Express,665,1257,"3300 Block of 22ND ST","CALIFORNIA ST / POLK ST",DELIVERED,1/15/1987,4/30/1987,0.529
589,7513,"Arts and crafts",International,Express,516,1084,"16TH ST / MISSOURI ST","200 Block of HARKNESS AV","NOT DELIVERED",2/6/1971,,0.476
863,9030,Automotive,International,Regular,412,872,"WINSTON DR / 19TH AV","300 Block of BEALE ST","NOT DELIVERED",3/4/1975,,0.4725
668,2378,Luggage,Domestic,Express,938,1067,"2100 Block of 16TH AV","5TH ST / MARKET ST",DELIVERED,6/10/1972,6/16/1972,0.8791
206,5894,Luggage,International,Express,854,1251,"1900 Block of WASHINGTON ST","CALIFORNIA ST / FILLMORE ST","NOT DELIVERED",6/25/2012,,0.6827
835,7587,Luggage,International,Regular,638,1314,"MARTIN LUTHER KING JR DR / 9TH AV","0 Block of TURK ST","NOT DELIVERED",1/5/1977,,0.4855
315,1424,"Food and Beverages",Domestic,Express,230,638,"3RD AV / BALBOA ST","400 Block of LAKESHORE DR","NOT DELIVERED",11/26/1995,,0.3605
553,5214,"Arts and crafts",Domestic,Regular,245,611,"3800 Block of MISSION ST","100 Block of PAGE ST","NOT DELIVERED",7/26/1995,,0.401
861,8249,Luggage,International,Regular,916,1255,"500 Block of JOHNFKENNEDY DR","VALLEJO ST / KEARNY ST",DELIVERED,2/9/1996,9/13/1996,0.7299
279,3172,Construction,International,Regular,84,464,"800 Block of MARKET ST","1500 Block of SLOAT BL","NOT DELIVERED",3/18/2016,,0.181
75,5489,Fashion,Domestic,Regular,869,1317,"100 Block of POWELL ST","GOLDEN GATE AV / LEAVENWORTH ST",DELIVERED,5/28/2002,9/8/2002,0.6598
895,2037,"Arts and crafts",International,Express,271,704,"500 Block of HOWARD ST","500 Block of JACKSON ST","NOT DELIVERED",3/15/2010,,0.3849
866,2401,Luggage,International,Regular,691,1260,"0 Block of MYRTLE ST","2ND ST / TOWNSEND ST",DELIVERED,1/22/1995,1/1/1995,0.5484
792,1303,"Arts and crafts",Domestic,Regular,808,1257,"900 Block of THE EMBARCADERO NORTH ST","2500 Block of OCTAVIA ST","NOT DELIVERED",9/24/2008,,0.6428
191,6798,"Home Furnishing",International,Express,997,1382,"600 Block of GOETTINGEN ST","100 Block of 6TH ST",DELIVERED,1/3/1989,10/17/1989,0.7214
59,9917,Construction,International,Regular,329,977,"1000 Block of SUTTER ST","800 Block of 3RD ST","NOT DELIVERED",4/2/1984,,0.3367
748,2969,"Home Furnishing",Domestic,Regular,600,1048,"100 Block of MONTGOMERY ST","600 Block of PRENTISS ST","NOT DELIVERED",5/7/1987,,0.5725
693,8737,"Home Furnishing",International,Express,715,1271,"0 Block of POWELL ST","600 Block of VALENCIA ST","NOT DELIVERED",1/4/1984,,0.5625
955,2104,"Home Furnishing",International,Express,957,1007,"BARTLETT ST / 21ST ST","FELL ST / POLK ST",DELIVERED,5/10/1992,12/27/1992,0.9503
538,1702,"Industrial Equipments",International,Express,484,863,"700 Block of MARKET ST","700 Block of SWEENY ST","NOT DELIVERED",8/7/2009,,0.5608
169,8933,Electronics,International,Express,576,1077,"0 Block of CAMERON WY","200 Block of DORE ST",DELIVERED,3/17/2017,8/24/2017,0.5348
924,3624,Construction,International,Regular,606,1021,"FILLMORE ST / OFARRELL ST","HAWTHORNE ST / HARRISON ST",DELIVERED,1/28/2015,3/20/2015,0.5935
579,4892,"Home Furnishing",Domestic,Express,913,1385,"SUTTER ST / LAGUNA ST","SOUTH VAN NESS AV / 22ND ST","NOT DELIVERED",12/21/2016,,0.6592
